Numero_train;Annee;Mois;Mois_Num;Axe;Numero_segment;Estimation_Nombre_circulation
16350;2023;août;8;Y Picard;K16;5.0
16350;2023;avril;4;Y Picard;K16;4.0
16350;2023;décembre;12;Y Picard;K16;6.0
16350;2023;février;2;Y Picard;K16;4.0
16350;2023;janvier;1;Y Picard;K16;4.0
16350;2023;juillet;7;Y Picard;K16;5.0
16350;2023;juin;6;Y Picard;K16;5.0
16350;2023;mai;5;Y Picard;K16;4.0
16350;2023;mars;3;Y Picard;K16;4.0
16350;2023;novembre;11;Y Picard;K16;6.0
16350;2023;octobre;10;Y Picard;K16;6.0
16350;2023;septembre;9;Y Picard;K16;5.0
16351;2023;août;8;Y Picard;K16;5.0
16351;2023;avril;4;Y Picard;K16;4.0
16351;2023;décembre;12;Y Picard;K16;6.0
16351;2023;février;2;Y Picard;K16;4.0
16351;2023;janvier;1;Y Picard;K16;4.0
16351;2023;juillet;7;Y Picard;K16;5.0
16351;2023;juin;6;Y Picard;K16;5.0
16351;2023;mai;5;Y Picard;K16;4.0
16351;2023;mars;3;Y Picard;K16;4.0
16351;2023;novembre;11;Y Picard;K16;6.0
16351;2023;octobre;10;Y Picard;K16;6.0
16351;2023;septembre;9;Y Picard;K16;5.0
16352;2023;août;8;Y Picard;K16;5.0
16352;2023;avril;4;Y Picard;K16;4.0
16352;2023;décembre;12;Y Picard;K16;6.0
16352;2023;février;2;Y Picard;K16;4.0
16352;2023;janvier;1;Y Picard;K16;4.0
16352;2023;juillet;7;Y Picard;K16;5.0
16352;2023;juin;6;Y Picard;K16;5.0
16352;2023;mai;5;Y Picard;K16;4.0
16352;2023;mars;3;Y Picard;K16;4.0
16352;2023;novembre;11;Y Picard;K16;6.0
16352;2023;octobre;10;Y Picard;K16;6.0
16352;2023;septembre;9;Y Picard;K16;5.0
16354;2023;août;8;Y Picard;K16;5.0
16354;2023;avril;4;Y Picard;K16;4.0
16354;2023;décembre;12;Y Picard;K16;6.0
16354;2023;février;2;Y Picard;K16;4.0
16354;2023;janvier;1;Y Picard;K16;4.0
16354;2023;juillet;7;Y Picard;K16;5.0
16354;2023;juin;6;Y Picard;K16;5.0
16354;2023;mai;5;Y Picard;K16;4.0
16354;2023;mars;3;Y Picard;K16;4.0
16354;2023;novembre;11;Y Picard;K16;6.0
16354;2023;octobre;10;Y Picard;K16;6.0
16354;2023;septembre;9;Y Picard;K16;5.0
16355;2023;août;8;Y Picard;K16;5.0
16355;2023;avril;4;Y Picard;K16;4.0
16355;2023;décembre;12;Y Picard;K16;6.0
16355;2023;février;2;Y Picard;K16;4.0
16355;2023;janvier;1;Y Picard;K16;4.0
16355;2023;juillet;7;Y Picard;K16;5.0
16355;2023;juin;6;Y Picard;K16;5.0
16355;2023;mai;5;Y Picard;K16;4.0
16355;2023;mars;3;Y Picard;K16;4.0
16355;2023;novembre;11;Y Picard;K16;6.0
16355;2023;octobre;10;Y Picard;K16;6.0
16355;2023;septembre;9;Y Picard;K16;5.0
16356;2023;août;8;Y Picard;K16;5.0
16356;2023;avril;4;Y Picard;K16;4.0
16356;2023;décembre;12;Y Picard;K16;6.0
16356;2023;février;2;Y Picard;K16;4.0
16356;2023;janvier;1;Y Picard;K16;4.0
16356;2023;juillet;7;Y Picard;K16;5.0
16356;2023;juin;6;Y Picard;K16;5.0
16356;2023;mai;5;Y Picard;K16;4.0
16356;2023;mars;3;Y Picard;K16;4.0
16356;2023;novembre;11;Y Picard;K16;6.0
16356;2023;octobre;10;Y Picard;K16;6.0
16356;2023;septembre;9;Y Picard;K16;5.0
16358;2023;août;8;Y Picard;K16;5.0
16358;2023;avril;4;Y Picard;K16;4.0
16358;2023;décembre;12;Y Picard;K16;6.0
16358;2023;février;2;Y Picard;K16;4.0
16358;2023;janvier;1;Y Picard;K16;4.0
16358;2023;juillet;7;Y Picard;K16;5.0
16358;2023;juin;6;Y Picard;K16;5.0
16358;2023;mai;5;Y Picard;K16;4.0
16358;2023;mars;3;Y Picard;K16;4.0
16358;2023;novembre;11;Y Picard;K16;6.0
16358;2023;octobre;10;Y Picard;K16;6.0
16358;2023;septembre;9;Y Picard;K16;5.0
16359;2023;août;8;Y Picard;K16;5.0
16359;2023;avril;4;Y Picard;K16;4.0
16359;2023;décembre;12;Y Picard;K16;6.0
16359;2023;février;2;Y Picard;K16;4.0
16359;2023;janvier;1;Y Picard;K16;4.0
16359;2023;juillet;7;Y Picard;K16;5.0
16359;2023;juin;6;Y Picard;K16;5.0
16359;2023;mai;5;Y Picard;K16;4.0
16359;2023;mars;3;Y Picard;K16;4.0
16359;2023;novembre;11;Y Picard;K16;6.0
16359;2023;octobre;10;Y Picard;K16;6.0
16359;2023;septembre;9;Y Picard;K16;5.0
16360;2023;août;8;Y Picard;K16;5.0
16360;2023;avril;4;Y Picard;K16;4.0
16360;2023;décembre;12;Y Picard;K16;6.0
16360;2023;février;2;Y Picard;K16;4.0
16360;2023;janvier;1;Y Picard;K16;4.0
16360;2023;mai;5;Y Picard;K16;4.0
16360;2023;mars;3;Y Picard;K16;4.0
16360;2023;novembre;11;Y Picard;K16;6.0
16360;2023;octobre;10;Y Picard;K16;6.0
16360;2023;septembre;9;Y Picard;K16;5.0
16361;2023;août;8;Y Picard;K16;5.0
16361;2023;avril;4;Y Picard;K16;4.0
16361;2023;février;2;Y Picard;K16;4.0
16361;2023;janvier;1;Y Picard;K16;4.0
16361;2023;juillet;7;Y Picard;K16;5.0
