CODE_UIC;LIBELLE;FRET;VOYAGEURS;CODE_LIGNE;RG_TRONCON;PK;COMMUNE;DEPARTEMEN;IDRESEAU;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;GeoPoint;GeoShape
87276295;Verberie;O;N;232000;1;073+910;VERBERIE;OISE;7144;e19f26f2-19bf-11e5-a6ff-01fc64e0362d;681514,6913;6913404,857;2,745804968;49,31996139;49.3199613885081, 2.7458049675076976;49.319961387556035, 2.7458049675076968;"{""coordinates"":[2.745804967507697,49.319961387556035],""type"":""Point""}"
87281477;Arques (Pas-de-Calais);O;N;294000;1;075+600;ARQUES;PAS-DE-CALAIS;2940;d94549e2-6667-11e3-89ff-01f464e0362d;650659,1852;7070382,819;2,302450988;50,72817745;50.72817744715358, 2.302450987758433;50.72817744621618, 2.302450987758432;"{""coordinates"":[2.302450987758432,50.72817744621618],""type"":""Point""}"
87345389;Bouchain;O;O;250000;1;219+772;BOUCHAIN;NORD;3309;d9d0e65a-6667-11e3-89ff-01f464e0362d;723687,6534;7020065,024;3,331897602;50,2780369;50.278036903655895, 3.331897602202126;50.278036902713644, 3.331897602202125;"{""coordinates"":[3.331897602202125,50.278036902713644],""type"":""Point""}"
87281204;Dunkerque-Port-Est;O;N;302506;1;004+725;GRANDE-SYNTHE;NORD;80926;e5477b8e-6667-11e3-a7ff-01f464e0362d;649162,6901;7104314,032;2,276902951;51,03243789;51.03243789250946, 2.2769029508534375;51.03243789157541, 2.2769029508534366;"{""coordinates"":[2.276902950853437,51.03243789157541],""type"":""Point""}"
87295337;Ferrière-la-Grande;O;N;241000;1;089+509;FERRIÈRE-LA-GRANDE;NORD;4143;e5408a6e-6667-11e3-a7ff-01f464e0362d;771466,1459;7017848,261;4,000900569;50,25451275;50.25451274873495, 4.000900568769875;50.254512747792454, 4.000900568769875;"{""coordinates"":[4.000900568769875,50.254512747792454],""type"":""Point""}"
87295014;Jeumont;O;O;242000;1;237+822;JEUMONT;NORD;4521;d9851b7a-6667-11e3-89ff-01f464e0362d;777539,1199;7022585,06;4,086856779;50,29631909;50.296319092273265, 4.086856778953874;50.29631909133122, 4.086856778953875;"{""coordinates"":[4.086856778953875,50.29631909133122],""type"":""Point""}"
87743005;Bourg-en-Bresse;O;O;883000;1;037+012;BOURG-EN-BRESSE;AIN;3332;d94753d0-6667-11e3-89ff-01f464e0362d;870744,2793;6569129,547;5,214555698;46,20045973;46.20045973444396, 5.214555697548378;46.200459733485445, 5.214555697548378;"{""coordinates"":[5.214555697548378,46.200459733485445],""type"":""Point""}"
87313056;Corbie;O;O;272000;1;139+438;CORBIE;SOMME;3807;e1b39428-19bf-11e5-a6ff-01fc64e0362d;664168,3419;6979424,097;2,501546006;49,91247381;49.91247380855365, 2.5015460063435744;49.91247380760758, 2.501546006343573;"{""coordinates"":[2.501546006343573,49.91247380760758],""type"":""Point""}"
87343707;Blanc-Misseron;O;N;255000;1;057+855;CRESPIN;NORD;3245;e542b59e-6667-11e3-a7ff-01f464e0362d;747046,4736;7034341,021;3,660850346;50,40488641;50.4048864085275, 3.6608503460272677;50.4048864075866, 3.6608503460272668;"{""coordinates"":[3.660850346027267,50.4048864075866],""type"":""Point""}"
87313288;St-Remy-en-l'Eau;N;O;272000;1;075+414;SAINT-REMY-EN-L'EAU;OISE;6658;e0463554-19bf-11e5-82ff-01fc64e0362d;658384,9634;6930066,499;2,426086461;49,46863162;49.468631616410335, 2.4260864611910575;49.468631615459756, 2.4260864611910566;"{""coordinates"":[2.426086461191057,49.468631615459756],""type"":""Point""}"
