nom_gare;code_uic_complet;code_postal;segmentation_drg;total_voyageurs_2021;total_voyageurs_non_voyageurs_2021;total_voyageurs_2020;total_voyageurs_non_voyageurs_2020;total_voyageurs_2019;total_voyageurs_non_voyageurs_2019;total_voyageurs_2018;total_voyageurs_non_voyageurs_2018;totalvoyageurs2017;total_voyageurs_non_voyageurs_2017;total_voyageurs_2016;total_voyageurs_non_voyageurs_2016;total_voyageurs_2015;total_voyageurs_non_voyageurs_2015;comptages;description;image
Étaples - Le Touquet;87317065;62630;b;396110;425925;268566;288781;388912;418185;354757;381459;377338;405740;358759;385762;389755;419092;129.0;"La gare d'Étaples - Le Touquet (dite aussi gare d'Étaples) est une gare ferroviaire française, des lignes de Longueau à Boulogne-Ville et de Saint-Pol-sur-Ternoise à Étaples, située sur le territoire de la commune d'Étaples, à proximité du Touquet-Paris-Plage, dans le département du Pas-de-Calais, en région Hauts-de-France.  Mise en service en 1847 par la Compagnie du chemin de fer d'Amiens à Boulogne, elle devient une gare de la Compagnie des chemins de fer du Nord en 1851.  C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des TGV (accessibles en tarification TERGV) ; c'est également une gare régionale du réseau TER Hauts-de-France, desservie par des trains express régionaux. ";https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Gare_SNCF_Etaples_-_Le_Touquet_%28b%C3%A2timent_principal%29.JPG/1024px-Gare_SNCF_Etaples_-_Le_Touquet_%28b%C3%A2timent_principal%29.JPG
Abancourt;87313759;60220;c;51811;51811;32396;32396;42685;42685;40228;40228;43760;43760;41096;41096;39720;39720;76.0;La gare d'Abancourt est une gare ferroviaire française de la ligne d'Épinay - Villetaneuse au Tréport - Mers et de la ligne de Saint-Roch à Darnétal-Bifurcation, située sur le territoire de la commune d'Abancourt, dans le département de l'Oise, en région Hauts-de-France.  Elle est mise en service en 1867 par la Compagnie des chemins de fer du Nord. C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Gare_d%27Abancourt_-_B%C3%A2timent_voyageurs_-_WP_20181110_14_08_58_Pro.jpg/1024px-Gare_d%27Abancourt_-_B%C3%A2timent_voyageurs_-_WP_20181110_14_08_58_Pro.jpg
Abbeville;87317362;80100;b;650701;793538;505759;616779;757362;923612;710325;866250;750298;914998;727081;886684;758410;924890;143.0;La gare d'Abbeville est une gare ferroviaire française, située à environ 800 mètres du centre-ville de la commune d'Abbeville, sous-préfecture du département de la Somme, en région Hauts-de-France.  Elle est mise en service en 1847 par la Compagnie du chemin de fer d'Amiens à Boulogne, avant de devenir une gare de la Compagnie des chemins de fer du Nord qui ouvre en 1862 le bâtiment voyageurs actuel. Puis, jusque dans les années 1940 – 1950, elle est un important nœud ferroviaire local, comportant jusqu'à quatre branches principales plus une secondaire.  Gare de la Société nationale des chemins de fer français (SNCF), elle est desservie par des trains régionaux (réseau TER Hauts-de-France). ;https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/BV_d%27Abbeville_%282%29_par_Cramos.jpg/1024px-BV_d%27Abbeville_%282%29_par_Cramos.jpg
Acheux - Franleu;87316745;80560;c;0;0;0;0;2;2;235;235;104;104;308;308;898;898;;La gare d'Acheux - Franleu est une gare ferroviaire française fermée de la ligne d'Abbeville à Eu, située sur le territoire de la commune de Chépy, à proximité des villages d'Acheux-en-Vimeu et de Franleu, dans le département de la Somme, en région Hauts-de-France.  C'était une halte ferroviaire de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France jusqu'à la fermeture de la ligne en 2018. ;https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/ACHEUX.JPG/1024px-ACHEUX.JPG
Achiet-le-Grand;87342048;62121;c;71432;71432;67305;67305;97848;97848;92323;92323;96451;96451;92084;92084;92018;92018;28.0;La gare d'Achiet est une gare ferroviaire française de la ligne de Paris-Nord à Lille, située sur le territoire de la commune d'Achiet-le-Grand, à proximité d'Achiet-le-Petit, dans le département du Pas-de-Calais, en région Hauts-de-France.  Elle est mise en service en 1846, par la Compagnie des chemins de fer du Nord.  C'est une halte de la Société nationale des chemins de fer français (SNCF), desservie par les trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Achiet.jpg/1024px-Achiet.jpg
Aguilcourt - Variscourt;87171702;2190;c;12294;12294;10436;10436;8796;8796;6155;6155;7368;7368;8979;8979;9821;9821;29.0;La halte d'Aguilcourt - Variscourt est une halte ferroviaire française de la ligne de Reims à Laon, située sur le territoire de la commune de Variscourt, à proximité d'Aguilcourt, dans le département de l'Aisne, en région Hauts-de-France.  C'est une halte de la Société nationale des chemins de fer français (SNCF), desservie par des trains régionaux du réseau TER Grand Est. ;https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Variscourt_%28Aisne%29_gare_d%27Agilcourt-Variscourt_%2801%29.JPG/1024px-Variscourt_%28Aisne%29_gare_d%27Agilcourt-Variscourt_%2801%29.JPG
Ailly-sur-Noye;87313221;80250;b;115954;144943;93929;117411;110710;138388;99154;123942;109757;137197;109495;136869;115038;143798;66.0;La gare d'Ailly-sur-Noye est une gare ferroviaire française de la ligne de Paris-Nord à Lille, située sur le territoire de la commune d'Ailly-sur-Noye, dans le département de la Somme, en région Hauts-de-France.  Elle est mise en service en 1846 par la Compagnie des chemins de fer du Nord.  C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Gare_d%27Ailly_sur_Noye.jpg/1024px-Gare_d%27Ailly_sur_Noye.jpg
Ailly-sur-Somme;87313098;80470;b;112866;141082;105120;131401;134750;168438;126145;157681;130664;163330;123926;154908;130027;162534;30.0;La gare d'Ailly-sur-Somme est une gare ferroviaire française de la ligne de Longueau à Boulogne-Ville, située au bourg centre de la commune d'Ailly-sur-Somme, dans le département de la Somme, en région Hauts-de-France.  Elle est mise en service en 1847, par la Compagnie du chemin de fer d'Amiens à Boulogne avant de devenir une gare de la Compagnie des chemins de fer du Nord, puis d'être intégrée dans le réseau de la Société nationale des chemins de fer français (SNCF) en 1938.  Ailly-sur-Somme est une gare de la SNCF, desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/AILLY1.JPG/1024px-AILLY1.JPG
Albert;87313072;80300;b;421455;520314;347558;429083;473720;584840;447970;553049;471473;582065;455852;562780;453216;559527;66.0;La gare d'Albert est une gare ferroviaire française de la ligne de Paris-Nord à Lille, située sur le territoire de la commune d'Albert, dans le département de la Somme, en région Hauts-de-France.  Elle est mise en service en 1846, par la Compagnie des chemins de fer du Nord.  C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER. ;https://upload.wikimedia.org/wikipedia/commons/7/71/Albert_PM_093317_F.jpg
Amiens;87313874;80017;a;4729432;6391124;3694011;4991907;5360735;7244237;5244716;7087454;5447333;7361261;5229456;7066833;5324980;7195919;424.0;La gare d'Amiens (dite localement « gare du Nord », notamment dans les transports en commun urbains) est une gare ferroviaire française située à proximité immédiate du centre-ville de la commune d'Amiens, préfecture du département de la Somme, en région Hauts-de-France.  Elle est mise en service par la Compagnie des chemins de fer du Nord, en 1846. Avec les gares voisines, elle est le centre d'une importante « étoile ferroviaire » à huit branches, dont six restent exploitées en trafic voyageurs dans les années 2020.  C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des trains express régionaux (réseau TER Hauts-de-France) dont le TERGV. ;https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Gare_Amiens_-_Amiens_%28FR80%29_-_2021-05-30_-_2.jpg/1024px-Gare_Amiens_-_Amiens_%28FR80%29_-_2021-05-30_-_2.jpg
