stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
02:00007,02:00007,"BOURG ET C. - ABRI","",49.39695,3.65725,,,0,,,
02:00010,02:00010,"SOUPIR - ABRI","",49.40627,3.59535,,,0,,,
02:00011,02:00011,"CYS LA C. - MAIRIE","",49.39263,3.57062,,,0,,,
02:00012,02:00012,"PRESLES ET B. - ABRI MAIRIE","",49.39361,3.55887,,,0,,,
02:00014,02:00014,"PRESLES ET B. - ST AUDEBERT ABRI","",49.39776,3.53445,,,0,,,
02:00015,02:00015,"PRESLES ET B. - CROIX ST THOMAS","",49.39655,3.52817,,,0,,,
02:00016,02:00016,"PRESLES ET B. - PONT DE VAILLY","",49.40113,3.51635,,,0,,,
02:00019,02:00019,"AIZY JOUY - MAIRIE ECOLE ABRI","",49.43617,3.51461,,,0,,,
02:00023,02:00023,"CONDE S/ A. - GARE","",49.40128,3.4762,,,0,,,
02:00024,02:00024,"CONDE S/ A. - ABRI","",49.39734,3.46933,,,0,,,
02:00025,02:00025,"MISSY S/ A. - CAFE","",49.38669,3.43593,,,0,,,
02:00027,02:00027,"BUCY LE L. - STE MARGUERITE","",49.39029,3.41339,,,0,,,
02:00029,02:00029,"BUCY LE L. - CREPERIE","",49.38962,3.39877,,,0,,,
02:00030,02:00030,"BUCY LE L. - CAFE TABAC","",49.39093,3.39253,,,0,,,
02:00031,02:00031,"BUCY LE L. - DISTILLERIE","",49.39422,3.36928,,,0,,,
02:00034,02:00034,"SOISSONS - GARE SNCF","",49.36991,3.33725,,,0,,,
02:00035,02:00035,"SOISSONS - LE CORBUSIER CITE SCOL","",49.36417,3.31552,,,0,,,
02:00038,02:00038,"CHAVONNE - ABRI","",49.40337,3.57306,,,0,,,
02:00039,02:00039,"BUCY LE L. - LE MONCEL","",49.39044,3.40566,,,0,,,
02:00040,02:00040,"LAON - COLL. J. MERMOZ","",49.56595,3.5937,,,0,,,
02:00042,02:00042,"LAON - LY PIERRE MECHAIN","",49.56182,3.63762,,,0,,,
02:00043,02:00043,"LAON - COLL.CHARLEMAGNE","",49.56187,3.6419,,,0,,,
02:00044,02:00044,"LAON - GARE ROUTIERE","",49.56995,3.62571,,,0,,,
