stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
02:00001,02:00001,"BEAURIEUX - HAUT RUE GROSSE PIERR","",49.39386,3.73976,,,0,,,
02:00002,02:00002,"BEAURIEUX - BAS GARE","",49.38645,3.73584,,,0,,,
02:00003,02:00003,"BEAURIEUX - 6 RUE C. DE GAULLE","",49.39014,3.73378,,,0,,,
02:00005,02:00005,"OEUILLY - PLACE ABRI","",49.39114,3.68668,,,0,,,
02:00007,02:00007,"BOURG ET C. - ABRI","",49.39695,3.65725,,,0,,,
02:00008,02:00008,"MOUSSY V. - MOUSSY VERNEUIL","",49.41576,3.63326,,,0,,,
02:00009,02:00009,"PONT ARCY - GARE","",49.39946,3.633,,,0,,,
02:00010,02:00010,"SOUPIR - ABRI","",49.40627,3.59535,,,0,,,
02:00011,02:00011,"CYS LA C. - MAIRIE","",49.39263,3.57062,,,0,,,
02:00012,02:00012,"PRESLES ET B. - ABRI MAIRIE","",49.39361,3.55887,,,0,,,
02:00014,02:00014,"PRESLES ET B. - ST AUDEBERT ABRI","",49.39776,3.53445,,,0,,,
02:00015,02:00015,"PRESLES ET B. - CROIX ST THOMAS","",49.39655,3.52817,,,0,,,
02:00016,02:00016,"PRESLES ET B. - PONT DE VAILLY","",49.40113,3.51635,,,0,,,
02:00017,02:00017,"VAILLY S/ A. - CAFE DE LA GARE","",49.40583,3.51522,,,0,,,
02:00019,02:00019,"AIZY JOUY - MAIRIE ECOLE ABRI","",49.43617,3.51461,,,0,,,
02:00023,02:00023,"CONDE S/ A. - GARE","",49.40128,3.4762,,,0,,,
02:00024,02:00024,"CONDE S/ A. - ABRI","",49.39734,3.46933,,,0,,,
02:00025,02:00025,"MISSY S/ A. - CAFE","",49.38669,3.43593,,,0,,,
02:00027,02:00027,"BUCY LE L. - STE MARGUERITE","",49.39029,3.41339,,,0,,,
02:00029,02:00029,"BUCY LE L. - CREPERIE","",49.38962,3.39877,,,0,,,
02:00030,02:00030,"BUCY LE L. - CAFE TABAC","",49.39093,3.39253,,,0,,,
02:00031,02:00031,"BUCY LE L. - DISTILLERIE","",49.39422,3.36928,,,0,,,
02:00032,02:00032,"CROUY - PONT DE JOCIENNE","",49.3962,3.35591,,,0,,,
02:00034,02:00034,"SOISSONS - GARE SNCF","",49.36991,3.33725,,,0,,,
02:00035,02:00035,"SOISSONS - LE CORBUSIER CITE SCOL","",49.36417,3.31552,,,0,,,
02:00038,02:00038,"CHAVONNE - ABRI","",49.40337,3.57306,,,0,,,
02:00039,02:00039,"BUCY LE L. - LE MONCEL","",49.39044,3.40566,,,0,,,
02:00040,02:00040,"LAON - COLL. J. MERMOZ","",49.56595,3.5937,,,0,,,
02:00042,02:00042,"LAON - LY PIERRE MECHAIN","",49.56182,3.63762,,,0,,,
02:00043,02:00043,"LAON - COLL.CHARLEMAGNE","",49.56187,3.6419,,,0,,,
02:00044,02:00044,"LAON - GARE ROUTIERE","",49.56995,3.62571,,,0,,,
02:00046,02:00046,"LAON - LY. PAUL CLAUDEL","",49.56454,3.60901,,,0,,,
02:00047,02:00047,"LAON - COLL LENAIN","",49.56178,3.61134,,,0,,,
02:00048,02:00048,"LAON - X LA NEUVILLE TUL","",49.57068,3.59505,,,0,,,
02:00050,02:00050,"BESNY ET L. - PLACE PUBLIQUE","",49.60083,3.5813,,,0,,,
02:00052,02:00052,"VIVAISE - ABRI","",49.61958,3.56014,,,0,,,
02:00053,02:00053,"CREPY  - NOTRE DAME","",49.60113,3.51586,,,0,,,
02:00054,02:00054,"CREPY  - GARE","",49.6234,3.5162,,,0,,,
02:00055,02:00055,"CREPY - PL.MARRONNIERS","",49.6089,3.51212,,,0,,,
02:00056,02:00056,"CREPY - PL. ST PIERRE","",49.60579,3.51178,,,0,,,
02:00057,02:00057,"BRIE - BRIQUETTERIE","",49.60295,3.49831,,,0,,,
02:00058,02:00058,"BRIE - CENTRE","",49.60118,3.48232,,,0,,,
02:00059,02:00059,"FOURDRAIN - ABRI RTA","",49.61016,3.47361,,,0,,,
02:00060,02:00060,"FOURDRAIN - MAIRIE","",49.61283,3.47019,,,0,,,
02:00061,02:00061,"FOURDRAIN - LA BOVETTE TRANSF","",49.6215,3.46061,,,0,,,
02:00062,02:00062,"COUVRON ET A. -  ABRI GRAND PLACE","",49.64163,3.51553,,,0,,,
02:00063,02:00063,"COUVRON ET A. - RUE MONCEAU LEUP","",49.64637,3.52028,,,0,,,
02:00066,02:00066,"NOUVION ET C-PT A BUCY 4 PONCEAUX","",49.69037,3.48518,,,0,,,
02:00067,02:00067,"NOUVION LE C. - ABRI ECOLE","",49.69942,3.4614,,,0,,,
02:00068,02:00068,"NOUVION ET C. - FACE ABRI","",49.70299,3.4815,,,0,,,
02:00069,02:00069,"RIBEMONT - COLLEGE","",49.80067,3.46713,,,0,,,
02:00070,02:00070,"RIBEMONT - MAIRIE ABRI","",49.79545,3.45877,,,0,,,
02:00084,02:00084,"ST QUENTIN - LYCEE CONDORCET","",49.86025,3.29454,,,0,,,
02:00085,02:00085,"LAON - RTA","",49.57856,3.64203,,,0,,,
02:00087,02:00087,"MARLY GOMONT - MAIRIE","",49.90575,3.79216,,,0,,,
02:00088,02:00088,"ST ALGIS -  CALVAIRE ABRI","",49.90137,3.82027,,,0,,,
02:00089,02:00089,"AUTREPPES - CAFE TABAC","",49.9042,3.85505,,,0,,,
02:00090,02:00090,"ERLOY - ARRET","",49.91476,3.82971,,,0,,,
02:00091,02:00091,"SORBAIS - VILLAGE","",49.9083,3.89469,,,0,,,
02:00092,02:00092,"SORBAIS - CROISEMENT D31","",49.8997,3.88625,,,0,,,
02:00093,02:00093,"ETREAUPONT - ABRI D31","",49.89973,3.91284,,,0,,,
02:00094,02:00094,"ETREAUPONT - RUE A. LESDANT","",49.90611,3.91367,,,0,,,
02:00095,02:00095,"GERGNY - ARRET","",49.91492,3.93368,,,0,,,
